
=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+A+-+WSTW+IT+Capability+Map+2024.xlsx - Sheet: Tabelle1 ===
Leistungsbereich | Gruppe | Fähigkeit | Beschreibung
Technische IT | Leittechnik | ICS | Server und IT-Equipment für U-Bahn, Kraftwerke, etc.
Technische IT | Leittechnik | SCADA | Server und IT-Equipment für U-Bahn, Kraftwerke, etc.
Infrastruktur | Identity Management | Zertifikatsverwaltung | Verwalten von Zertifikation und Public Key Infrastructures von Devices, Servern, etc. (sowohl Server- als auch Client-Zertifikate)
Infrastruktur | IT-Helpdesk | 1st Level Serviceline | Interne Serviceline für telefonische Hilfe (allgemeine Hilfe & Checklisten durchgehen)
Infrastruktur | IT-Helpdesk | 2nd Level Support | Spezialisierte Hilfe je nach Problemstellung und Applikation
Infrastruktur | IT-Helpdesk | 3rd Level Support | Anpassungen an Software - muss von jeder Software-Capability angeboten werden
Infrastruktur | IT-Helpdesk | Field Support | Vor-Ort Support bei explizit vor Ort notwendigen Problemen (nur für Hardware)
Infrastruktur | Netzwerk | Festnetztelefonie | Festnetztelefonie & Telefonsysteme
Infrastruktur | Netzwerk | LAN | Lokales Netzwerk (Verkabelung)
Infrastruktur | Netzwerk | Mobilfunk | Mobiltelefonie, Daten, SMS, SIM-Verwaltung & Verträge
Infrastruktur | Netzwerk | Netzwerkhardware | Router, Firewalls, Switches, etc.
Infrastruktur | Netzwerk | Virtual Private Network (VPN) | Fernzugriff auf interne Netzwerke
Infrastruktur | Netzwerk | WAN / Internet | Internetanbindung & Wide Area Network
Infrastruktur | Output Management | Druck-Workflow-Management | Software zur Durchführung von Druckaufträgen (Daten, Layout, Druck-Input)
Infrastruktur | Output Management | Groß-Serien-Druck | Große Serien in der Druckstraße
Infrastruktur | Output Management | Bürodrucker | Drucker bei den einzelnen Bürostandorten (z.B. Stockwerksdrucker)
Infrastruktur | Output Management | Klein-Serien-Druck | Kleine Serien in der Druckstraße
Infrastruktur | Output Management | Sonderdruck | Spezielle Drucke, z.B. Jahreskarte
Infrastruktur | RZ & Cloud | Cloud Server & Assetmanagement | Server in der Cloud ohne weitere Software (Virtuelle Server, etc.) und Asset Management aller Cloud Services bzw. Subscriptions
Infrastruktur | RZ & Cloud | Container-Infrastruktur | Infrastruktur für Betrieb von Containern (Kubernetes, Docker, etc.)
Infrastruktur | RZ & Cloud | Infrastructure as a Code (Cloud) | Netzwerk, Firewall, Datenbank, Cluster, etc. wird über "Config"-Files als Code definiert & vorbereitet, Infrastruktur als Code ist der Prozess der Verwaltung und Bereitstellung von Computer-Rechenzentren über maschinenlesbare Definitionsdateien anstelle der physischen Hardwarekonfiguration oder interaktiver Konfigurationstools. z.B. Terraform oder Docker-Configs, Helm
